timestamp,Accx,Accy,Accz
0,-0.001,-0.025,0.995
40,0.001,-0.02,0.994
80,0.006,-0.01,0.995
120,0,-0.019,0.994
160,-0.002,-0.024,0.995
200,0.008,-0.011,0.995
240,-0.002,-0.014,0.993
280,-0.001,-0.023,0.994
320,0.01,-0.003,0.991
360,-0.01,-0.02,0.992
400,-0.003,-0.039,1.013
440,0.006,-0.016,0.995
480,-0.003,-0.039,0.994
520,0.004,-0.041,0.995
560,0.003,-0.009,0.994
600,0.021,-0.018,0.997
640,-0.029,0.004,0.988
680,0.016,-0.055,1
720,-0.018,0.011,0.988
760,0.027,-0.02,0.998
800,-0.026,-0.038,0.993
840,0.034,0.001,0.996
880,-0.016,-0.033,0.992
920,0.019,-0.012,0.996
960,0.006,-0.01,0.994
1000,-0.003,-0.033,0.994
1040,0.02,-0.004,0.995
1080,-0.021,-0.024,0.992
1120,0.015,-0.018,0.995
1160,-0.01,-0.006,0.99
1200,0.007,-0.031,0.996
1240,-0.006,-0.005,0.991
1280,0.014,-0.027,0.997
1320,-0.014,-0.014,0.991
1360,0.021,-0.014,0.996
1400,-0.018,-0.024,0.992
1440,0.018,-0.013,0.996
1480,-0.012,-0.021,0.992
1520,0.004,-0.023,0.995
1560,0.007,-0.009,0.995
1600,-0.002,-0.029,0.994
1640,0.007,-0.012,0.994
1680,0,-0.022,0.994
1720,0.001,-0.026,0.996
1760,0.001,-0.008,0.993
1800,0.002,-0.022,0.998
1840,-0.006,-0.019,1.009
1880,0.008,-0.088,1.006
1920,-0.017,0.019,1.027
1960,0.051,-0.089,1.099
2000,0.035,-0.176,1.058
2040,0.048,-0.102,1.006
2080,-0.005,-0.063,1.055
2120,0.128,-0.268,1.008
2160,0.157,-0.246,1.045
2200,0.138,-0.25,1.156
2240,0.177,-0.363,1.288
2280,0.162,-0.38,1.235
2320,0.118,-0.339,1.173
2360,0.057,-0.266,0.97
2400,0.02,-0.132,0.822
2440,-0.064,-0.021,0.834
2480,-0.108,-0.057,0.902
2520,0.021,-0.221,0.84
2560,-0.118,-0.227,1.037
2600,-0.244,-0.05,1.002
Timestamp info,Accx,Accy,Accz
0,0.181,0.193,1.257
40,0.167,0.237,1.252
80,0.122,0.282,1.197
120,0.067,0.336,1.138
160,0.031,0.35,1.07
200,-0.025,0.359,1.01
240,-0.042,0.408,0.932
280,-0.015,0.368,0.864
320,0.058,0.376,0.906
