timestamp,Accx,Accy,Accz
0,0.016,-0.027,0.995
40,0.015,-0.022,0.994
80,0.015,-0.026,0.994
120,0.015,-0.024,0.994
160,0.015,-0.026,0.994
200,0.014,-0.024,0.994
240,0.015,-0.025,0.994
280,0.014,-0.022,0.993
320,0.015,-0.027,0.994
360,0.015,-0.022,0.994
400,0.015,-0.025,0.994
440,0.013,-0.026,0.994
480,0.017,-0.021,0.994
520,0.021,-0.02,0.994
560,0.009,-0.036,0.994
600,0.017,-0.022,0.993
640,0.016,-0.031,0.995
680,0.035,0.007,0.992
720,-0.002,-0.058,0.995
760,0.021,-0.014,0.993
800,0.019,-0.025,0.994
840,-0.001,-0.046,0.994
880,0.031,0.002,0.993
920,0,-0.046,0.995
960,0.013,-0.021,0.992
1000,0.023,-0.02,0.994
1040,-0.006,-0.042,0.993
1080,0.038,-0.01,0.993
1120,-0.002,-0.036,0.992
1160,0.02,-0.029,0.995
1200,0.016,-0.015,0.992
1240,0.006,-0.043,0.995
1280,0.025,-0.006,0.993
1320,0.01,-0.036,0.995
1360,0.01,-0.028,0.993
1400,0.005,0.036,1.036
1440,0.023,-0.102,0.994
1480,-0.032,0.064,0.993
1520,0.026,-0.105,1.002
1560,0.055,-0.05,1.087
1600,0.035,-0.047,0.958
1640,0.04,-0.176,0.964
1680,-0.037,-0.286,1.479
1720,0.023,-0.488,1.374
1760,-0.107,-0.373,1.246
1800,-0.156,-0.211,0.905
1840,-0.144,-0.038,0.551
1880,-0.129,-0.057,0.474
1920,-0.149,0.326,1.224
1960,-0.139,-0.363,0.348
2000,-0.132,-0.375,0.906
2040,-0.162,-0.107,1.015
2080,-0.36,-0.046,1.231
2120,-0.364,-0.081,1.117
2160,-0.181,-0.079,0.942
2200,-0.151,-0.049,0.879
2240,-0.068,-0.114,0.97
2280,-0.068,-0.049,0.928
2320,-0.021,-0.066,0.846
2360,-0.078,0.001,0.906
2400,-0.033,0.005,0.868
2440,-0.012,-0.117,0.933
2480,-0.036,-0.193,1.031
2520,-0.1,-0.182,1.124
2560,-0.012,-0.205,1.073
2600,0.01,-0.213,1.033
2640,-0.008,-0.164,0.982
2680,-0.036,-0.171,0.964
2720,-0.012,-0.202,0.879
2760,-0.068,-0.212,0.938
2800,-0.105,-0.201,0.989
2840,-0.092,-0.252,1.01
2880,-0.053,-0.267,0.943
2920,-0.07,-0.258,1.016
2960,-0.051,-0.257,0.993
3000,-0.06,-0.214,0.948
3040,-0.06,-0.184,0.963
3080,-0.033,-0.212,0.949
3120,-0.011,-0.174,0.918
3160,-0.024,-0.183,0.989
3200,-0.023,-0.176,1.017
3240,-0.009,-0.175,0.966
3280,0.002,-0.167,0.933
3320,-0.011,-0.199,0.995
3360,-0.029,-0.177,1.02
3400,-0.022,-0.191,1.01
3440,-0.026,-0.185,0.961
3480,-0.029,-0.216,0.968
3520,-0.026,-0.218,0.998
3560,-0.02,-0.183,0.969
3600,-0.018,-0.183,0.953
3640,-0.041,-0.182,0.969
3680,-0.034,-0.187,0.987
3720,-0.04,-0.172,0.986
3760,-0.022,-0.179,0.968
3800,-0.017,-0.186,0.979
3840,-0.019,-0.2,0.988
3880,-0.033,-0.204,0.976
3920,-0.04,-0.198,0.976
3960,-0.049,-0.2,0.986
4000,-0.036,-0.183,0.962
4040,-0.021,-0.173,0.973
4080,-0.037,-0.157,0.98
4120,-0.048,-0.171,1.004
4160,-0.066,-0.207,1.077
4200,-0.007,-0.156,1.04
4240,0,-0.21,1.087
4280,-0.04,-0.079,1.075
4320,0.031,-0.173,1.158
4360,0.069,-0.268,1.086
4400,0.022,-0.099,1
4440,0.031,-0.031,0.976
4480,0.063,0.071,0.925
4520,0.122,-0.112,0.926
4560,0.044,-0.062,1.1
4600,0.098,-0.088,0.858
4640,0.032,0.153,0.919
4680,-0.148,-0.221,1.294
4720,-0.168,-0.071,0.807
4760,-0.106,-0.044,1
4800,-0.127,-0.121,0.831
4840,0.073,-0.243,0.641
4880,-0.141,0.501,1.031
4920,-0.175,0.411,0.512
4960,-0.044,-0.076,1.147
5000,0.076,0.014,0.945
5040,0.081,-0.14,1.251
5080,0.08,-0.092,1.216
5120,0.114,-0.041,0.979
5160,-0.006,0.042,0.956
5200,0.021,0.1,0.881
5240,0.037,-0.044,0.98
5280,0.021,0.111,0.955
5320,0.042,0.041,0.943
5360,0.013,0.047,1.02
5400,0.067,-0.022,1.028
5440,0.05,0.01,0.918
5480,0.039,-0.031,0.976
5520,0.016,-0.007,1.013
5560,0.041,-0.025,1.014
5600,0.016,0.016,0.982
5640,-0.004,0.022,1.048
