timestamp,Accx,Accy,Accz
0,0.014,-0.014,0.994
40,0.014,-0.018,0.993
80,0.01,-0.02,0.992
120,0.012,-0.014,0.994
160,0.013,-0.017,0.993
200,0.017,-0.013,0.993
240,0.01,-0.023,0.993
280,0.017,-0.01,0.993
320,0.008,-0.02,0.994
360,0.012,-0.015,0.993
400,0.011,-0.016,0.993
440,0.012,-0.016,0.993
480,0.011,-0.013,0.993
520,0.01,-0.022,0.994
560,0.013,-0.015,0.993
600,0.019,-0.014,0.994
640,0.005,-0.021,0.993
680,0.018,-0.017,0.993
720,-0.001,-0.032,0.993
760,0.011,-0.025,0.994
800,0.02,0.007,0.992
840,0.001,-0.04,0.995
880,0.019,0.004,0.99
920,0.006,-0.034,0.995
960,0.005,-0.011,0.991
1000,0.021,-0.02,0.994
1040,-0.006,-0.023,0.993
1080,0.03,-0.01,0.995
1120,-0.005,-0.024,0.992
1160,0.02,-0.017,0.994
1200,0.005,-0.013,0.992
1240,0.013,-0.096,0.999
1280,0.047,-0.218,0.995
1320,-0.022,0.089,1
1360,-0.005,-0.076,1.064
1400,0.084,-0.216,1.239
1440,0.106,-0.022,0.998
1480,0.203,0.096,1.227
1520,-0.024,-0.175,1.734
1560,0.297,-0.425,1.31
1600,0.073,-0.253,1.211
1640,0.063,-0.133,1.251
1680,-0.044,-0.219,1.031
1720,-0.003,-0.168,0.946
1760,-0.056,-0.067,0.867
1800,-0.096,0.028,0.819
1840,-0.095,-0.009,0.772
1880,-0.142,-0.045,0.751
1920,-0.11,-0.137,0.794
1960,-0.13,-0.057,1.01
2000,-0.171,-0.031,0.92
2040,-0.194,-0.341,1.136
2080,-0.061,0.115,0.937
2120,-0.112,0.032,0.858
2160,0.034,-0.075,0.963
2200,0.022,-0.029,0.968
2240,-0.013,-0.227,0.566
2280,-0.287,-0.084,1.16
2320,0.016,-0.027,1.174
2360,-0.081,-0.029,1.101
2400,-0.183,-0.231,1.194
2440,0.254,0.025,1.144
2480,0.032,0.092,1.447
2520,-0.096,0,1.246
2560,-0.114,-0.007,1.099
2600,-0.144,-0.006,0.952
2640,-0.235,-0.1,0.837
2680,-0.116,-0.118,0.663
2720,-0.258,-0.193,0.533
2760,-0.35,-0.176,0.51
2800,-0.343,-0.253,0.518
2840,-0.372,-0.158,0.667
2880,-0.359,-0.145,0.748
2920,-0.341,-0.171,0.82
2960,-0.471,-0.1,0.869
3000,-0.468,-0.187,0.9
3040,-0.477,-0.101,0.996
3080,-0.482,-0.072,0.982
3120,-0.554,0.089,1.043
3160,-0.526,0.046,0.947
3200,-0.519,-0.029,0.819
3240,-0.444,-0.016,0.797
3280,-0.339,-0.09,0.759
3320,-0.279,-0.172,0.713
3360,-0.183,-0.194,0.695
3400,-0.197,-0.167,0.74
3440,-0.17,-0.198,0.734
3480,-0.152,-0.138,0.784
3520,-0.149,-0.15,0.857
3560,-0.108,-0.223,0.898
3600,-0.137,-0.078,1.015
3640,-0.112,-0.109,1.084
3680,-0.095,-0.049,1.11
3720,-0.152,0.2,1.178
3760,-0.142,0.244,1.148
3800,-0.127,0.357,1.164
3840,-0.126,0.483,1.181
3880,-0.072,0.523,1.192
3920,-0.018,0.464,1.152
3960,0.029,0.37,1.074
4000,0.02,0.256,1.044
4040,0.086,0.272,1.056
4080,0.153,0.06,0.968
4120,0.176,-0.166,0.877
4160,0.194,-0.34,0.825
4200,0.299,-0.596,0.95
4240,0.396,-0.445,1.181
4280,0.315,-0.021,1.27
4320,0.225,0.034,1.226
4360,0.187,-0.1,1.329
4400,0.177,-0.215,1.62
4440,-0.078,-0.278,1.443
4480,-0.38,-0.203,1.151
4520,-0.433,0.027,0.913
4560,-0.481,0.101,0.784
4600,-0.272,-0.031,0.808
4640,-0.242,0.039,0.764
4680,-0.281,0.012,0.56
4720,-0.261,-0.038,0.378
4760,-0.203,-0.039,0.308
4800,-0.183,-0.037,0.352
4840,-0.153,-0.049,0.363
4880,-0.181,-0.047,0.454
4920,-0.197,-0.082,0.575
4960,-0.155,-0.106,0.73
5000,-0.052,-0.125,0.828
5040,-0.067,-0.171,0.978
5080,-0.047,-0.183,1.097
5120,0.009,-0.213,1.212
5160,0.026,-0.182,1.282
5200,-0.009,-0.218,1.304
5240,0.069,-0.142,1.414
5280,0.149,-0.141,1.558
5320,0.125,-0.108,1.538
5360,0.119,-0.109,1.24
5400,0.089,-0.095,1.035
5440,0.167,-0.068,0.982
5480,0.214,-0.087,0.999
5520,0.227,-0.082,0.976
5560,0.211,-0.131,0.957
5600,0.159,0.016,1.053
5640,0.053,0.002,1.219
5680,0.089,0.094,1.375
5720,0.094,0.002,1.514
5760,0.02,-0.104,1.439
5800,-0.035,-0.272,1.285
5840,-0.177,-0.246,1.092
5880,-0.329,-0.228,0.928
5920,-0.264,-0.186,0.874
5960,-0.191,-0.083,0.89
6000,-0.343,0.032,0.862
6040,-0.313,0.095,0.722
6080,-0.321,0.019,0.602
6120,-0.306,-0.15,0.469
6160,-0.212,-0.236,0.473
6200,-0.136,-0.274,0.512
6240,-0.089,-0.302,0.516
6280,0.007,-0.254,0.551
6320,-0.108,-0.194,0.577
6360,-0.18,-0.222,0.604
6400,-0.13,-0.153,0.758
6440,-0.1,-0.171,0.845
6480,-0.076,-0.102,0.859
6520,-0.04,-0.051,0.896
6560,0.023,-0.035,0.965
6600,0.031,-0.066,1.06
6640,0.038,0.137,1.348
6680,0.044,0.165,1.667
6720,0.043,0.297,1.714
6760,0.093,0.211,1.416
6800,0.195,0.344,1.101
6840,0.183,0.411,1
6880,0.189,0.299,0.908
6920,0.129,0.254,0.963
6960,0.145,0.155,1.011
7000,0.139,0.074,1.008
7040,0.115,-0.005,0.968
7080,0.092,-0.103,0.892
7120,0.179,-0.311,0.962
7160,0.429,-0.513,1.216
7200,0.431,-0.515,1.416
7240,0.279,-0.518,1.424
7280,0.114,-0.375,1.281
7320,-0.078,-0.258,1.196
7360,-0.157,-0.152,1.057
7400,-0.263,-0.06,1.006
7440,-0.32,0.055,0.982
7480,-0.235,0.118,0.936
7520,-0.146,0.108,0.851
7560,-0.14,0.099,0.629
7600,-0.181,0.048,0.448
7640,-0.167,0.049,0.335
7680,-0.147,0.009,0.285
7720,-0.17,-0.027,0.331
7760,-0.161,0.016,0.424
7800,-0.177,-0.054,0.523
7840,-0.2,-0.089,0.741
7880,-0.055,-0.086,0.967
7920,0.051,-0.125,1.214
7960,0.195,-0.054,1.605
8000,0.261,-0.017,1.651
8040,0.217,0.031,1.662
8080,0.199,-0.037,1.553
8120,0.226,-0.051,1.316
8160,0.103,0.003,1.181
8200,0.058,0.014,1.068
8240,0.055,-0.053,0.998
8280,0.014,-0.027,0.971
8320,-0.033,-0.052,0.939
8360,-0.08,-0.08,0.938
8400,-0.087,-0.076,0.942
8440,-0.112,-0.067,0.956
8480,-0.137,-0.099,0.906
8520,-0.206,-0.082,0.817
8560,-0.248,-0.036,0.772
8600,-0.163,0.006,0.819
8640,-0.061,0.023,0.926
8680,-0.071,0.017,0.992
8720,-0.049,0.03,1.04
8760,-0.102,-0.033,1.022
8800,-0.148,-0.081,1.037
8840,-0.202,-0.093,1.065
8880,-0.235,-0.073,1.112
8920,-0.216,-0.003,1.1
8960,-0.276,0.006,1.076
9000,-0.264,0.001,1.138
9040,-0.274,-0.014,1.134
9080,-0.352,-0.002,1.128
9120,-0.511,0.033,1.105
9160,-0.575,-0.068,1.066
9200,-0.315,0.124,1.077
9240,-0.246,0.091,0.969
9280,-0.281,-0.202,0.659
9320,-0.148,-0.112,0.611
9360,-0.129,-0.201,0.579
9400,-0.094,-0.246,0.53
9440,-0.092,-0.297,0.486
9480,-0.089,-0.28,0.511
9520,-0.144,-0.245,0.571
9560,-0.127,-0.213,0.656
9600,-0.1,-0.149,0.775
9640,-0.111,-0.087,0.863
9680,-0.021,-0.04,0.964
9720,0.01,-0.024,1.129
9760,0.03,0.064,1.234
9800,0.061,0.075,1.361
9840,0.096,0.143,1.497
9880,0.026,0.241,1.445
9920,0.027,0.37,1.355
9960,0.071,0.418,1.148
10000,0.062,0.366,0.976
10040,0.055,0.244,0.917
10080,0.019,0.201,0.886
10120,-0.039,0.145,0.826
10160,0.026,-0.116,0.951
10200,0.407,-0.464,1.192
10240,0.467,-0.665,1.27
10280,0.237,-0.56,1.14
10320,0.108,-0.38,1.026
10360,-0.046,-0.214,0.979
10400,-0.089,-0.125,0.978
10440,-0.144,-0.031,0.934
10480,-0.175,-0.008,0.903
10520,-0.151,0.047,0.927
10560,-0.194,0.065,0.964
10600,-0.222,0,0.956
10640,-0.252,0.046,1.015
10680,-0.261,0.06,1.036
10720,-0.273,0.04,0.999
10760,-0.266,0.038,0.973
10800,-0.263,-0.005,0.951
10840,-0.308,-0.01,0.953
10880,-0.315,-0.014,1.026
10920,-0.326,0.003,1.11
10960,-0.365,0.015,1.161
11000,-0.36,0.025,1.033
11040,-0.323,0.011,0.842
11080,-0.257,0.062,0.71
11120,-0.306,-0.008,0.409
11160,-0.311,0.046,0.22
11200,-0.239,-0.02,0.254
11240,0.038,-0.056,0.456
11280,0.067,-0.052,0.607
11320,0.042,0.044,0.822
11360,0.145,0.045,1.095
11400,0.257,0.051,1.563
11440,0.275,0.093,1.805
11480,0.208,-0.002,1.676
11520,0.031,0.038,1.379
11560,-0.06,0.067,1.186
11600,-0.105,0.036,1.067
11640,-0.058,0.012,1.028
11680,-0.023,0.007,1.013
11720,0.035,-0.012,1.048
11760,0.076,-0.021,1.11
11800,0.039,-0.042,1.131
11840,-0.043,-0.087,1.11
11880,-0.177,-0.062,1.049
11920,-0.28,-0.045,0.907
11960,-0.363,-0.043,0.822
12000,-0.378,-0.022,0.766
12040,-0.383,-0.052,0.765
12080,-0.391,-0.066,0.768
12120,-0.326,-0.089,0.745
12160,-0.346,-0.088,0.773
12200,-0.391,-0.063,0.835
12240,-0.352,-0.09,0.857
12280,-0.359,-0.088,0.879
12320,-0.378,-0.081,0.899
12360,-0.373,-0.071,0.927
12400,-0.375,-0.082,0.918
12440,-0.389,-0.082,0.91
12480,-0.381,-0.074,0.933
12520,-0.369,-0.075,0.939
12560,-0.379,-0.053,0.928
12600,-0.386,-0.055,0.916
12640,-0.374,-0.057,0.928
12680,-0.345,-0.067,0.926
12720,-0.346,-0.071,0.923
12760,-0.353,-0.087,0.921
12800,-0.361,-0.076,0.914
12840,-0.355,-0.083,0.916
12880,-0.339,-0.093,0.907
12920,-0.358,-0.095,0.909
12960,-0.365,-0.069,0.903
13000,-0.364,-0.061,0.898
13040,-0.38,-0.023,0.914
13080,-0.357,-0.016,0.932
13120,-0.359,-0.041,0.928
13160,-0.367,-0.013,0.956
13200,-0.371,-0.022,0.949
13240,-0.381,-0.026,0.93
13280,-0.38,-0.039,0.914
13320,-0.368,-0.051,0.913
13360,-0.355,-0.041,0.933
13400,-0.341,-0.043,0.933
13440,-0.353,-0.037,0.935
13480,-0.339,-0.038,0.926
13520,-0.339,-0.042,0.918
13560,-0.347,-0.019,0.92
13600,-0.348,-0.01,0.937
13640,-0.349,-0.015,0.931
13680,-0.357,-0.033,0.923
13720,-0.351,-0.042,0.922
13760,-0.355,-0.044,0.928
