timestamp,Accx,Accy,Accz
0,0.005,-0.023,0.994
40,0.006,-0.012,0.994
80,0.002,-0.024,0.994
120,0.004,-0.015,0.993
160,0.003,-0.022,0.994
200,0.004,-0.017,0.994
240,0.005,-0.018,0.995
280,0.002,-0.019,0.994
320,0.007,-0.017,0.994
360,-0.005,-0.023,0.993
400,0.017,-0.006,0.994
440,-0.007,-0.032,0.994
480,0.008,-0.01,0.993
520,0.007,-0.02,0.995
560,-0.001,-0.02,0.994
600,0.012,-0.015,0.994
640,-0.004,-0.023,0.993
680,0.007,-0.017,0.994
720,0.006,-0.017,0.994
760,0,-0.023,0.994
800,0.008,-0.016,0.994
840,0,-0.021,0.994
880,0.003,-0.021,0.995
920,0.007,-0.015,0.994
960,-0.004,-0.026,0.995
1000,0.016,-0.015,0.996
1040,-0.014,-0.023,0.994
1080,0.006,-0.028,0.993
1120,0.003,-0.005,0.991
1160,-0.005,-0.038,0.995
1200,0.016,-0.008,0.994
1240,-0.002,-0.029,0.994
1280,-0.005,-0.027,0.993
1320,0.033,-0.003,0.994
1360,-0.017,-0.035,0.992
1400,0.019,-0.01,0.993
1440,0.007,-0.017,0.993
1480,-0.018,-0.029,0.992
1520,0.023,-0.006,0.993
1560,-0.015,-0.026,0.991
1600,0.027,-0.015,0.992
1640,-0.006,-0.005,0.991
1680,-0.002,-0.042,0.995
1720,0.011,0.004,0.991
1760,0,-0.034,0.994
1800,0.004,-0.008,0.991
1840,0.016,-0.015,0.993
1880,-0.015,-0.026,0.992
1920,0.025,-0.004,0.994
1960,-0.009,-0.03,0.994
2000,0.031,-0.199,0.995
2040,-0.227,0.109,0.969
2080,0.198,0.126,1.055
2120,0.002,0.07,1.027
2160,0.182,-0.398,1.147
2200,0.005,-0.062,1.337
2240,0.034,-0.204,1.241
2280,0.001,-0.323,1.129
2320,0.081,-0.512,1.268
2360,-0.049,-0.421,1.103
2400,0.057,-0.319,0.801
2440,0.04,-0.292,0.682
2480,-0.057,-0.299,0.836
2520,-0.07,-0.253,0.882
2560,-0.114,-0.136,0.865
2600,-0.077,-0.294,0.757
2640,-0.121,-0.07,0.896
2680,-0.311,-0.253,1.219
2720,-0.175,0.003,0.949
2760,-0.281,-0.055,1.219
2800,-0.091,-0.21,1.03
2840,-0.066,-0.011,0.694
2880,-0.174,0.191,0.77
2920,-0.078,-0.054,0.804
2960,-0.042,-0.068,0.849
3000,-0.112,0.027,0.982
3040,-0.16,0,0.733
3080,-0.225,0.056,1.012
3120,-0.198,-0.003,0.817
3160,-0.046,-0.035,0.936
3200,-0.023,-0.128,0.902
3240,-0.13,-0.031,1.206
3280,-0.026,-0.111,0.993
3320,-0.008,-0.141,1.002
3360,-0.093,-0.122,0.989
3400,-0.094,-0.064,0.903
3440,-0.056,-0.087,0.958
3480,-0.033,-0.146,1.001
3520,-0.13,-0.094,0.976
3560,-0.173,-0.064,0.95
3600,-0.088,-0.146,1.069
3640,-0.062,-0.12,1.146
3680,-0.087,0.007,1.09
3720,-0.081,-0.055,1.015
3760,-0.02,0.058,0.857
3800,-0.149,0.055,0.875
3840,-0.089,-0.276,1.083
3880,-0.058,-0.073,1.206
3920,-0.145,-0.28,1.193
3960,-0.072,0.236,1.201
4000,-0.099,0.167,1.145
