timestamp,Accx,Accy,Accz
0,0.012,-0.022,0.993
40,0.011,-0.031,0.995
80,0.01,-0.022,0.993
120,0.015,-0.027,0.995
160,0.006,-0.028,0.994
200,0.019,-0.023,0.994
240,0.009,-0.025,0.992
280,0.011,-0.028,0.994
320,0.003,-0.028,0.993
360,0.018,-0.024,0.994
400,0.004,-0.027,0.993
440,0.013,-0.022,0.994
480,0.009,-0.025,0.993
520,0.008,-0.027,0.994
560,0.02,-0.028,0.995
600,0.003,-0.028,0.993
640,0.026,-0.001,0.993
680,-0.004,-0.055,0.995
720,0.016,-0.011,0.993
760,0.022,-0.018,0.995
800,-0.003,-0.036,0.993
840,0.028,-0.006,0.994
880,-0.006,-0.042,0.993
920,0.017,-0.017,0.993
960,0.019,-0.028,0.993
1000,0.002,-0.03,0.993
1040,0.024,-0.019,0.995
1080,0,-0.031,0.993
1120,0.014,-0.027,0.994
1160,0.012,-0.021,0.992
1200,0.003,-0.033,0.994
1240,0.018,-0.021,0.994
1280,-0.183,0.176,1.121
1320,-0.023,0.017,0.968
1360,-0.136,-0.108,1.117
1400,0.024,0.164,1.03
1440,0.216,-0.135,1.028
1480,0.014,-0.097,1.038
1520,0.074,-0.116,1.085
1560,0.238,-0.163,1.084
1600,0.127,-0.107,1.098
1640,0.241,-0.224,0.785
1680,0.103,-0.224,1.267
1720,0.065,-0.137,1.255
1760,0.078,-0.153,1.288
1800,0.037,-0.115,1.158
1840,-0.065,-0.039,1.097
1880,-0.078,0.022,0.961
1920,-0.135,0.033,0.751
1960,-0.167,0.004,0.604
2000,-0.22,-0.091,0.757
2040,-0.118,0.028,0.953
2080,-0.208,-0.024,1.109
2120,-0.3,0.06,1.27
2160,-0.308,0.084,1.212
2200,-0.255,0.056,1.242
2240,-0.198,0.06,1.182
2280,-0.228,0.074,1.017
2320,-0.249,0.092,0.913
2360,-0.267,0.087,0.824
2400,-0.253,0.115,0.732
2440,-0.29,0.036,0.815
2480,-0.281,0.044,0.817
2520,-0.281,0.054,0.632
2560,-0.29,0.015,0.534
2600,-0.278,0.035,0.442
2640,-0.274,0.019,0.402
2680,-0.289,-0.018,0.399
2720,-0.289,-0.008,0.544
2760,-0.328,0.048,0.614
2800,-0.308,0.066,0.767
2840,-0.28,0.053,0.855
2880,-0.244,0.055,0.856
2920,-0.183,0.06,0.986
2960,-0.129,0.075,1.034
3000,-0.108,0.065,1.157
3040,-0.082,0.053,1.158
3080,-0.065,0.044,1.215
3120,-0.084,0.068,1.363
3160,-0.025,0.115,1.661
3200,-0.137,0.135,1.489
3240,-0.105,0.117,1.115
3280,-0.051,0.071,0.884
3320,0.015,0.074,0.99
3360,0.003,0.073,1.048
3400,-0.016,0.043,0.862
3440,-0.066,0.079,0.865
3480,-0.077,0.097,1.007
3520,-0.102,0.041,0.998
3560,-0.134,-0.011,0.973
3600,-0.134,-0.006,1.048
3640,-0.126,-0.081,1.001
3680,-0.073,-0.105,0.951
3720,-0.041,-0.088,1.087
3760,-0.031,0.009,1.245
3800,-0.077,0.074,1.326
3840,-0.065,0.186,1.355
3880,-0.155,0.29,1.162
3920,-0.158,0.297,1.114
3960,-0.198,0.331,1.076
4000,-0.196,0.282,0.973
4040,-0.298,0.223,0.977
4080,-0.307,0.173,0.947
4120,-0.322,0.104,0.832
4160,-0.294,0.071,0.563
4200,-0.267,0.045,0.504
4240,-0.247,0.086,0.503
4280,-0.201,0.016,0.521
4320,-0.159,-0.056,0.508
4360,-0.211,-0.075,0.517
4400,-0.224,-0.116,0.577
4440,-0.23,-0.052,0.635
4480,-0.319,0.031,0.7
4520,-0.335,0.024,0.775
4560,-0.292,0.027,0.858
4600,-0.297,0.027,0.964
4640,-0.264,0.026,1.055
4680,-0.256,0.061,1.217
4720,-0.275,0.049,1.368
4760,-0.25,0.023,1.465
4800,-0.258,0.054,1.386
4840,-0.257,0.096,1.279
4880,-0.262,0.096,1.137
4920,-0.2,0.062,1.035
4960,-0.131,0.013,0.997
5000,-0.093,0.005,0.893
5040,-0.097,-0.013,0.971
5080,-0.148,0,0.976
5120,-0.111,0.024,0.934
5160,-0.208,0.016,0.957
5200,-0.146,-0.008,1.024
5240,-0.151,-0.012,1.024
5280,-0.134,-0.067,1.016
5320,-0.098,0,1.003
5360,-0.106,-0.054,1.008
5400,-0.093,-0.04,0.986
5440,-0.149,0.163,1.108
5480,-0.004,0.05,1.021
5520,-0.184,-0.137,1.014
5560,-0.026,-0.133,0.833
5600,-0.202,-0.193,1.022
5640,-0.141,-0.215,0.917
5680,-0.132,-0.072,1.14
5720,-0.122,0.152,0.784
5760,-0.102,0.234,0.918
5800,-0.01,-0.102,0.941
5840,0.005,-0.082,0.542
5880,-0.203,-0.291,1.008
5920,-0.089,-0.102,1.113
5960,-0.069,-0.013,1.07
6000,-0.008,-0.155,1.055
6040,-0.034,-0.141,1.07
6080,-0.152,-0.098,1.313
6120,-0.037,0.021,1.198
6160,-0.22,-0.101,1.307
6200,-0.193,0.036,1.129
6240,-0.244,-0.051,1.152
6280,-0.181,0.129,1.046
6320,-0.371,0.1,0.901
6360,-0.289,0.109,0.95
6400,-0.194,0.083,0.7
6440,-0.388,0.142,0.858
6480,-0.325,0.065,0.581
6520,-0.358,0.142,0.479
6560,-0.329,-0.015,0.353
6600,-0.284,-0.056,0.334
6640,-0.283,-0.029,0.456
6680,-0.276,-0.098,0.5
6720,-0.226,-0.115,0.603
6760,-0.2,-0.016,0.767
6800,-0.186,-0.029,0.833
6840,-0.16,-0.063,0.976
6880,-0.13,-0.068,1.022
6920,-0.08,-0.064,1.091
6960,-0.023,-0.033,1.378
7000,0.012,-0.052,1.506
7040,0.004,0.014,1.551
7080,-0.073,0.055,1.379
7120,-0.079,-0.042,1.061
7160,0.03,-0.078,1.055
7200,0.047,-0.067,1.09
7240,0.024,-0.078,0.952
7280,0.026,-0.062,0.931
7320,0.048,-0.121,0.982
7360,0.049,-0.001,1.086
7400,0.006,-0.027,1.08
7440,-0.011,0.012,1.117
7480,-0.041,-0.017,1.189
7520,-0.029,-0.171,1.256
7560,-0.024,-0.043,1.254
