timestamp,Accx,Accy,Accz
0,0.011,-0.019,0.995
40,0.003,-0.016,0.994
80,0.013,-0.019,0.996
120,0.003,-0.011,0.993
160,0.009,-0.021,0.995
200,0.003,-0.015,0.993
240,0.014,-0.013,0.994
280,0.004,-0.02,0.994
320,0.013,-0.013,0.995
360,0.004,-0.016,0.994
400,0.011,-0.018,0.995
440,0.008,-0.011,0.994
480,0.009,-0.021,0.995
520,0.008,-0.02,0.995
560,0.002,-0.014,0.994
600,0.018,-0.028,0.997
640,-0.009,0.017,0.99
680,0.024,-0.05,0.999
720,-0.014,-0.011,0.991
760,0.031,0.006,0.996
800,-0.021,-0.042,0.991
840,0.025,0.007,0.995
880,-0.011,-0.031,0.992
920,0.005,-0.02,0.994
960,0.03,-0.03,0.993
1000,-0.011,-0.035,0.993
1040,0.031,-0.005,0.996
1080,-0.009,-0.024,0.992
1120,0.019,-0.03,0.994
1160,0.001,-0.013,0.992
1200,0.017,-0.094,0.998
1240,0.004,0.045,0.996
1280,-0.004,0.072,0.955
1320,0.099,-0.371,1.016
1360,0.13,-0.154,1.063
1400,0.059,-0.047,0.989
1440,0.028,-0.187,1.362
1480,0.041,-0.12,1.401
1520,0.368,-0.225,0.956
1560,0.196,-0.276,1.252
1600,0.155,-0.22,1.056
1640,0.11,-0.316,1.02
1680,0.098,-0.138,0.949
1720,0.014,-0.113,0.785
1760,-0.004,0.018,0.704
1800,-0.02,0.201,0.83
1840,-0.066,-0.071,0.901
1880,-0.087,-0.314,0.855
1920,0.049,-0.217,1.068
1960,-0.122,0.103,0.998
2000,-0.067,0.046,1.048
2040,-0.042,-0.027,1.041
2080,0.022,-0.007,0.79
2120,0.063,-0.141,0.681
2160,0.024,0.178,0.817
2200,-0.112,-0.112,1.394
2240,0.027,-0.309,1.043
2280,0.01,-0.028,0.821
2320,0.128,-0.132,0.974
2360,0.119,0.013,1.1
2400,0.15,0.034,0.823
2440,0.18,0.201,0.838
2480,0.02,-0.291,1.211
2520,0.079,0.012,1.151
2560,0.044,-0.111,1.13
2600,0.001,0.075,1.107
2640,0.094,0.091,1.154
2680,0.057,0.094,1.183
2720,-0.042,0.058,1.102
2760,-0.095,0.104,1.062
2800,-0.081,0.106,0.977
2840,-0.154,0.137,0.861
2880,-0.238,0.121,0.726
2920,-0.276,0.153,0.645
2960,-0.27,0.229,0.668
3000,-0.373,0.383,0.75
3040,-0.401,0.506,0.846
3080,-0.347,0.456,0.983
3120,-0.348,0.357,1.028
3160,-0.343,0.277,1.029
3200,-0.366,0.071,0.962
3240,-0.365,-0.18,0.865
3280,-0.302,-0.357,0.834
3320,-0.253,-0.431,0.794
3360,-0.223,-0.315,0.713
3400,-0.247,-0.228,0.647
3440,-0.185,-0.152,0.621
3480,-0.213,-0.106,0.594
3520,-0.256,-0.112,0.592
3560,-0.229,-0.109,0.697
3600,-0.164,-0.151,0.756
3640,-0.146,-0.095,0.746
3680,-0.126,-0.085,0.819
3720,0,-0.066,0.896
3760,0.091,0.086,1.055
3800,0.045,0.228,1.306
3840,0.116,0.37,1.805
3880,0.278,0.254,1.989
3920,0.096,0.186,1.638
3960,-0.074,0.167,1.125
4000,-0.028,0.099,0.909
4040,0.12,0.018,0.776
4080,0.184,-0.009,0.871
4120,0.244,0.018,1.034
4160,0.206,0.096,1.006
4200,0.094,-0.032,0.827
4240,0.034,-0.051,0.95
4280,0.174,0.062,1.212
4320,0.159,-0.008,1.072
4360,-0.016,-0.126,0.854
4400,-0.013,-0.171,0.99
4440,0.265,0.037,1.366
4480,0.139,-0.047,1.317
4520,-0.029,-0.178,1.066
4560,-0.168,0.136,1.191
4600,-0.169,-0.039,1.243
4640,-0.151,0.003,1.152
4680,-0.313,0.11,1.167
4720,-0.294,-0.228,1.045
4760,-0.213,-0.17,0.924
4800,-0.253,-0.022,0.845
4840,-0.202,0.11,0.796
4880,-0.16,0.117,0.74
4920,-0.178,0.26,0.718
4960,-0.213,0.476,0.78
5000,-0.238,0.447,0.759
5040,-0.264,0.492,0.776
5080,-0.341,0.438,0.773
5120,-0.397,0.238,0.759
5160,-0.425,0.129,0.767
5200,-0.436,-0.093,0.773
5240,-0.37,-0.252,0.781
5280,-0.308,-0.295,0.85
5320,-0.304,-0.372,0.778
5360,-0.269,-0.385,0.723
5400,-0.217,-0.201,0.673
5440,-0.216,-0.074,0.61
5480,-0.27,-0.03,0.619
5520,-0.241,-0.105,0.62
5560,-0.206,-0.145,0.651
5600,-0.226,-0.045,0.708
5640,-0.247,-0.098,0.843
5680,-0.139,-0.177,0.89
5720,-0.138,-0.098,1.113
5760,-0.133,-0.034,1.21
5800,-0.035,0.022,1.443
5840,0.132,0.211,1.696
5880,0.172,0.349,1.873
5920,0.104,0.113,1.405
5960,-0.013,0.01,0.97
6000,0.013,-0.184,0.864
6040,0.216,-0.14,1.071
6080,0.177,-0.145,1.057
6120,0.049,-0.095,0.927
6160,0.062,-0.031,0.948
6200,0.189,-0.006,1.029
6240,0.162,-0.031,1.108
6280,0.094,-0.045,1.125
6320,0.021,-0.049,1.093
6360,-0.011,-0.068,1.058
6400,0.011,-0.053,1.074
6440,0.012,-0.078,1.051
6480,-0.013,-0.084,0.989
6520,-0.05,-0.062,0.969
6560,-0.113,-0.04,0.968
6600,-0.13,-0.047,0.989
6640,-0.157,-0.105,0.993
6680,-0.173,-0.121,1.048
6720,-0.176,-0.11,1
6760,-0.233,-0.132,0.926
6800,-0.266,-0.169,0.88
6840,-0.279,-0.181,0.814
6880,-0.298,-0.19,0.807
6920,-0.255,-0.161,0.837
6960,-0.277,-0.2,0.865
7000,-0.284,-0.221,0.824
7040,-0.311,-0.207,0.846
7080,-0.325,-0.192,0.843
7120,-0.33,-0.179,0.849
7160,-0.322,-0.206,0.887
7200,-0.327,-0.223,0.914
7240,-0.319,-0.195,0.931
7280,-0.356,-0.186,0.933
7320,-0.364,-0.199,0.997
7360,-0.412,-0.277,1.116
7400,-0.436,-0.345,1.22
7440,-0.334,-0.253,1.169
7480,-0.415,-0.138,1.007
7520,-0.434,-0.013,0.848
7560,-0.34,-0.049,0.839
7600,-0.231,-0.064,0.756
7640,-0.321,-0.11,0.727
7680,-0.347,-0.12,0.736
7720,-0.307,-0.125,0.748
7760,-0.341,-0.129,0.731
7800,-0.402,-0.097,0.767
7840,-0.42,-0.074,0.814
7880,-0.44,-0.077,0.847
7920,-0.448,-0.08,0.902
7960,-0.451,-0.109,0.912
8000,-0.457,-0.116,0.944
8040,-0.411,-0.137,0.964
8080,-0.365,-0.126,0.948
8120,-0.413,-0.14,0.942
8160,-0.409,-0.119,0.966
8200,-0.355,-0.127,0.989
8240,-0.341,-0.131,0.944
8280,-0.352,-0.104,0.943
8320,-0.325,-0.097,0.912
8360,-0.337,-0.073,0.871
8400,-0.391,-0.108,0.847
8440,-0.383,-0.109,0.883
8480,-0.334,-0.078,0.953
8520,-0.347,-0.09,0.929
8560,-0.379,-0.104,0.915
8600,-0.358,-0.111,0.9
8640,-0.385,-0.129,0.903
8680,-0.382,-0.145,0.95
8720,-0.375,-0.159,0.968
8760,-0.357,-0.115,0.983
8800,-0.351,-0.083,1.013
