timestamp,Accx,Accy,Accz
0,0.004,-0.014,0.993
40,0.004,-0.023,0.995
80,-0.001,-0.02,0.993
120,0.009,-0.022,0.994
160,-0.001,-0.02,0.993
200,0.01,-0.021,0.994
240,0.001,-0.018,0.993
280,0.001,-0.027,0.994
320,0.008,-0.012,0.994
360,-0.003,-0.028,0.994
400,0.012,-0.01,0.993
440,-0.005,-0.032,0.994
480,0.005,-0.012,0.992
520,0.004,-0.024,0.995
560,-0.005,-0.023,0.994
600,0.016,-0.015,0.995
640,-0.012,-0.04,0.994
680,0.021,0.018,0.992
720,-0.019,-0.055,0.996
760,0.01,0.008,0.991
800,0.02,-0.04,0.996
840,-0.019,-0.018,0.99
880,0.041,-0.011,0.997
920,-0.033,-0.028,0.991
960,0.032,-0.017,0.997
1000,-0.019,-0.019,0.991
1040,0.007,-0.035,0.996
1080,0.014,-0.002,0.992
1120,-0.009,-0.04,0.995
1160,0.015,-0.008,0.993
1200,-0.004,-0.029,0.996
1240,-0.002,-0.024,0.992
1280,0.02,-0.005,0.951
1320,-0.15,0.201,1.007
1360,0.122,-0.491,1.149
1400,-0.094,0.078,0.949
1440,0.04,-0.171,1.324
1480,0.055,-0.151,1.505
1520,0.456,-0.415,0.736
1560,0.187,-0.392,1.316
1600,0.085,-0.407,1.063
1640,0.008,-0.337,0.932
1680,-0.156,-0.141,0.668
1720,-0.236,0.034,0.745
1760,-0.063,-0.224,0.762
1800,-0.091,-0.112,0.907
1840,-0.02,-0.368,0.717
1880,-0.273,0.073,1.198
1920,0.165,-0.052,1.168
1960,-0.205,0.178,0.738
2000,0.068,0.159,0.393
2040,-0.195,0.038,1.22
2080,0.072,0.049,0.802
2120,0.048,-0.096,0.869
2160,-0.189,-0.281,0.987
2200,-0.108,-0.318,1.098
2240,-0.203,0.191,1.376
2280,-0.14,-0.183,0.852
2320,-0.214,-0.1,1.113
2360,0.159,-0.183,1.013
2400,0.159,-0.175,1.144
2440,-0.149,-0.275,0.992
2480,-0.104,-0.038,1.096
2520,-0.061,0.002,1.236
2560,-0.124,0.02,1.266
2600,-0.186,0.015,1.165
2640,-0.255,-0.037,1.017
2680,-0.298,-0.043,0.947
2720,-0.253,-0.142,0.826
2760,-0.335,-0.171,0.793
2800,-0.4,-0.178,0.639
2840,-0.502,-0.297,0.65
2880,-0.444,-0.255,0.661
2920,-0.374,-0.359,0.636
2960,-0.339,-0.359,0.589
3000,-0.364,-0.348,0.558
3040,-0.357,-0.22,0.573
3080,-0.321,-0.196,0.568
3120,-0.34,-0.024,0.557
3160,-0.309,0.021,0.621
3200,-0.229,0.024,0.644
3240,-0.173,0.148,0.654
