timestamp,Accx,Accy,Accz
0,0.023,-0.028,0.995
40,0.018,-0.028,0.994
80,0.023,-0.024,0.995
120,0.017,-0.029,0.994
160,0.018,-0.025,0.994
200,0.021,-0.029,0.993
240,0.014,-0.027,0.993
280,0.022,-0.026,0.994
320,0.019,-0.027,0.993
360,0.022,-0.027,0.993
400,0.019,-0.026,0.993
440,0.019,-0.032,0.995
480,0.024,-0.018,0.994
520,0.01,-0.031,0.992
560,0.031,-0.025,0.995
600,0.013,-0.023,0.992
640,0.017,-0.039,0.994
680,0.023,-0.018,0.992
720,0.011,-0.042,0.993
760,0.027,-0.012,0.994
800,0.015,-0.036,0.993
840,0.018,-0.028,0.994
880,0.023,-0.022,0.994
920,0.013,-0.036,0.993
960,0.025,-0.017,0.993
1000,0.017,-0.034,0.995
1040,0.02,-0.023,0.993
1080,0.024,-0.025,0.993
1120,0.014,-0.033,0.994
1160,0.026,-0.022,0.993
1200,0.017,-0.028,0.992
1240,0.021,-0.028,0.994
1280,0.023,-0.021,0.993
1320,0.014,-0.031,0.993
1360,0.023,-0.024,0.995
1400,0.019,-0.027,0.994
1440,-0.005,-0.123,0.994
1480,0.057,0.131,0.992
1520,0.022,-0.125,0.995
1560,0.032,-0.198,0.993
1600,0.04,0.203,1.036
1640,-0.007,-0.07,0.988
1680,0.081,-0.06,0.997
1720,0.065,-0.093,1.127
1760,-0.005,-0.107,1.285
1800,0.101,-0.25,1.297
1840,0.389,-0.206,0.727
1880,0.152,-0.206,1.105
1920,0.14,-0.369,0.971
1960,0.164,-0.233,1.011
2000,-0.058,-0.197,0.782
2040,-0.084,-0.079,0.716
2080,-0.119,-0.259,0.669
2120,-0.147,-0.21,0.833
2160,-0.07,-0.176,0.933
2200,-0.156,-0.096,1.035
2240,-0.316,-0.586,1.309
2280,-0.112,-1.034,0.898
2320,0.044,0.502,0.669
2360,0.072,-0.062,1.043
2400,0.141,-0.214,0.945
2440,0.04,0.149,0.793
2480,-0.004,0.224,0.721
2520,-0.021,0.1,0.831
2560,-0.071,0.156,0.938
2600,-0.171,0.178,1.069
2640,-0.087,-0.013,1.185
2680,-0.006,-0.109,1.118
2720,0.053,-0.19,0.843
2760,-0.018,-0.147,0.959
2800,-0.076,-0.11,1.001
2840,-0.16,0.007,1.131
2880,-0.059,-0.143,1.054
2920,-0.051,-0.051,0.991
2960,-0.005,-0.028,1.021
3000,-0.031,-0.022,0.996
3040,0.003,-0.05,0.959
3080,0.001,-0.144,1
3120,-0.037,-0.069,0.975
3160,-0.039,-0.094,0.954
3200,-0.023,-0.084,0.927
3240,-0.023,-0.113,0.961
3280,-0.037,-0.164,1.045
3320,-0.095,-0.106,1.075
3360,-0.08,-0.127,0.965
3400,-0.071,-0.14,0.918
3440,-0.106,-0.087,1.006
3480,-0.089,-0.113,0.963
3520,-0.131,-0.104,0.992
3560,-0.132,-0.125,0.98
3600,-0.118,-0.155,0.964
3640,-0.132,-0.141,0.984
3680,-0.132,-0.142,1.001
3720,-0.121,-0.155,0.988
3760,-0.109,-0.173,0.993
3800,-0.141,-0.141,0.982
3840,-0.121,-0.174,1.017
3880,-0.125,-0.112,0.962
3920,-0.117,-0.089,0.967
3960,-0.08,-0.103,0.941
4000,-0.076,-0.068,0.944
