timestamp,Accx,Accy,Accz
0,0.001,-0.029,0.994
40,0,-0.026,0.994
80,0,-0.025,0.993
120,0,-0.023,0.993
160,-0.001,-0.029,0.993
200,0,-0.026,0.994
240,0.002,-0.025,0.994
280,-0.001,-0.026,0.993
320,0.002,-0.027,0.995
360,-0.001,-0.023,0.993
400,0.004,-0.032,0.995
440,-0.007,-0.025,0.993
480,0.016,-0.016,0.995
520,-0.011,-0.04,0.994
560,0.011,-0.02,0.994
600,0,-0.026,0.994
640,0.029,-0.006,0.992
680,0.002,-0.043,0.995
720,-0.014,-0.02,0.992
760,0.013,-0.029,0.995
800,-0.02,-0.03,0.991
840,0.019,-0.021,0.995
880,-0.017,-0.028,0.991
920,0.013,-0.025,0.995
960,-0.01,-0.024,0.991
1000,0.005,-0.03,0.995
1040,-0.007,-0.023,0.992
1080,0.007,-0.028,0.996
1120,-0.005,-0.026,0.991
1160,0.009,-0.024,0.995
1200,-0.006,-0.026,0.993
1240,0.007,-0.027,0.995
1280,0.001,-0.021,0.993
1320,0.001,-0.031,0.994
1360,0.007,-0.019,0.994
1400,-0.009,-0.08,0.989
1440,0.024,-0.118,0.989
1480,-0.015,0.026,0.989
1520,0.004,0.012,1.003
1560,-0.005,0.014,0.99
1600,0.001,-0.038,0.994
1640,-0.002,-0.012,0.992
1680,0.003,-0.036,0.994
1720,-0.056,-0.133,1.003
1760,0.065,-0.046,1.008
1800,0.118,-0.117,1.125
1840,0.044,0.012,0.943
1880,-0.121,0.046,1.042
1920,-0.064,-0.166,1.223
1960,0.13,-0.082,0.759
2000,0.176,-0.047,1.209
2040,0.063,-0.116,1.175
2080,-0.002,-0.198,1.084
2120,0.098,-0.049,1.247
2160,0.017,-0.17,1.206
2200,0.038,-0.067,1.046
2240,-0.107,-0.101,0.951
2280,0.01,-0.041,0.85
2320,-0.087,-0.013,0.932
2360,-0.053,-0.026,0.884
2400,-0.165,0.052,0.754
2440,-0.069,0.043,0.824
2480,-0.125,0.13,0.966
2520,-0.189,-0.003,1.08
2560,-0.257,-0.264,1.176
2600,-0.129,0.118,1.069
2640,-0.295,0.11,0.646
2680,0.043,0.153,0.948
2720,-0.112,0.208,0.605
2760,0.017,0.177,1.074
2800,-0.025,-0.757,1.134
2840,-0.217,0.069,0.946
2880,-0.016,0.104,1.156
2920,-0.156,-0.018,1.133
2960,-0.048,0.016,1.202
3000,-0.208,0.113,1.177
3040,-0.101,-0.006,1.295
3080,-0.087,0.17,1.125
3120,-0.178,0.09,1.102
3160,-0.112,0.108,0.976
3200,-0.188,0.135,0.938
3240,-0.216,0.12,0.772
3280,-0.243,0.15,0.752
3320,-0.246,0.19,0.678
3360,-0.294,0.068,0.547
3400,-0.326,0.104,0.513
3440,-0.313,0.012,0.501
3480,-0.263,-0.053,0.475
3520,-0.275,-0.079,0.586
3560,-0.263,-0.111,0.676
3600,-0.229,-0.189,0.809
3640,-0.185,-0.163,0.946
3680,-0.177,-0.198,0.993
3720,-0.147,-0.26,1.194
3760,-0.15,-0.214,1.319
3800,-0.213,-0.144,1.444
3840,-0.099,0.025,1.601
3880,-0.007,0.178,1.513
3920,0.008,0.135,1.157
3960,0.023,0.092,0.913
4000,0.036,0.061,0.767
4040,0.07,-0.05,0.712
4080,0.051,-0.085,0.659
4120,-0.002,-0.092,0.642
4160,-0.023,-0.077,0.671
4200,-0.057,-0.076,0.939
4240,-0.066,0.023,1.131
4280,-0.037,0.128,1.305
4320,0.038,0.199,1.323
4360,0.135,0.143,1.214
4400,0.154,0.113,1.2
4440,0.131,0.115,1.037
4480,0.126,0.064,1.001
4520,0.149,0.017,0.932
4560,0.194,-0.102,0.99
4600,0.276,-0.466,1.025
4640,0.268,-0.583,1.034
4680,0.155,-0.616,1.065
4720,0.152,-0.352,1.101
4760,0.104,-0.104,1.006
4800,-0.013,0.082,0.885
4840,0.105,0.106,0.983
4880,0.133,0.024,1.036
4920,0.093,0.07,1.021
4960,0.064,-0.068,1.01
5000,0.094,0.004,1.05
5040,0.128,-0.089,1.044
5080,0.094,0.101,1.017
5120,0.07,0.136,1.045
5160,-0.067,0.382,1.235
5200,-0.132,0.404,1.299
5240,-0.324,0.327,1.065
5280,-0.328,0.524,1.077
5320,-0.275,0.464,1
5360,-0.194,0.37,0.937
5400,-0.207,0.626,0.949
5440,-0.136,0.307,0.918
5480,-0.101,0.348,0.899
5520,-0.161,0.358,0.852
5560,-0.149,0.333,0.818
5600,-0.079,0.306,0.819
5640,-0.124,0.245,0.76
5680,-0.173,0.051,0.637
5720,-0.213,0.05,0.589
5760,-0.264,-0.131,0.53
5800,-0.288,-0.057,0.596
5840,-0.297,-0.164,0.637
5880,-0.288,-0.216,0.711
5920,-0.282,-0.167,0.765
5960,-0.309,-0.177,0.818
6000,-0.24,-0.206,0.87
6040,-0.141,-0.163,1.034
6080,-0.122,-0.126,1.138
6120,-0.128,-0.181,1.225
6160,-0.11,-0.198,1.385
6200,-0.087,-0.057,1.46
6240,-0.134,0.234,1.455
6280,-0.088,0.25,1.347
6320,0.031,0.058,1.057
6360,0.078,0.008,0.775
6400,0.066,-0.005,0.571
6440,0.113,-0.001,0.543
6480,0.097,-0.003,0.55
6520,0.021,-0.069,0.651
6560,-0.015,-0.024,0.853
6600,-0.028,0.029,1.164
6640,-0.013,0.071,1.529
6680,0.031,0.196,1.542
6720,0.114,0.27,1.238
6760,0.155,0.271,1.038
6800,0.217,0.216,0.973
6840,0.193,0.241,0.951
6880,0.179,0.174,0.962
6920,0.221,-0.093,0.951
6960,0.261,-0.37,0.983
7000,0.307,-0.727,1.111
7040,0.247,-0.655,1.145
7080,0.114,-0.244,1.098
7120,0.025,0.007,0.972
7160,0.017,0.021,0.955
7200,0.102,-0.081,1.07
7240,0.108,0.044,1.245
7280,0.039,0.084,1.208
7320,0.008,-0.059,1.104
7360,-0.089,0.151,1.131
7400,-0.189,0.09,1.134
7440,-0.209,-0.042,1.047
7480,-0.305,0.075,0.924
7520,-0.263,0.253,0.912
7560,-0.208,0.07,0.761
7600,-0.333,-0.022,0.618
7640,-0.158,0.192,0.941
7680,-0.048,0.175,1.245
7720,-0.016,0.333,1.28
7760,-0.063,0.401,1.186
7800,-0.06,0.473,1.032
7840,-0.101,0.437,0.856
7880,-0.156,0.365,0.703
7920,-0.187,0.243,0.629
7960,-0.191,0.131,0.572
8000,-0.226,0.069,0.527
8040,-0.271,0.014,0.533
8080,-0.255,-0.079,0.589
8120,-0.27,-0.11,0.669
8160,-0.24,-0.18,0.686
8200,-0.222,-0.242,0.748
8240,-0.229,-0.224,0.848
8280,-0.154,-0.225,0.977
8320,-0.172,-0.177,1.109
8360,-0.137,-0.242,1.272
8400,-0.136,-0.236,1.367
8440,-0.133,-0.054,1.538
8480,-0.102,0.063,1.591
8520,-0.098,0.264,1.417
8560,-0.151,0.282,1.021
8600,-0.072,0.091,0.741
8640,0.018,0.075,0.585
8680,0.012,0.127,0.539
8720,0.055,0.063,0.522
8760,0.038,-0.05,0.56
8800,0.046,-0.047,0.652
8840,0.056,0.016,0.912
8880,0.084,0.011,1.354
8920,0.194,0.052,1.852
8960,0.184,0.074,1.671
9000,0.066,0.076,1.21
9040,0.114,0.19,0.934
9080,0.226,0.303,1.004
9120,0.198,0.276,0.994
9160,0.172,0.252,0.983
9200,0.135,0.26,0.961
9240,0.154,0.038,0.903
9280,0.209,-0.235,0.915
9320,0.271,-0.625,1.048
9360,0.258,-0.774,1.15
9400,0.221,-0.539,1.157
9440,0.102,-0.05,1.045
9480,0.06,-0.002,0.964
9520,0.144,-0.046,1.063
9560,0.137,0.012,1.147
9600,0.027,0.244,1.091
9640,-0.21,0.265,0.966
9680,-0.275,-0.007,0.901
9720,-0.276,-0.233,1.253
9760,-0.022,-0.307,1.494
9800,-0.059,-0.214,1.215
9840,-0.298,-0.18,0.894
9880,-0.258,-0.073,0.762
9920,-0.147,0.061,0.883
9960,-0.154,0.087,0.918
10000,-0.156,0.206,0.831
10040,-0.207,0.38,0.879
10080,-0.105,0.405,0.929
10120,-0.074,0.507,0.981
10160,-0.054,0.546,0.967
10200,-0.04,0.42,0.878
10240,-0.076,0.319,0.787
10280,-0.121,0.229,0.657
10320,-0.176,0.125,0.558
10360,-0.256,0.082,0.534
10400,-0.305,0.035,0.567
10440,-0.276,-0.057,0.584
10480,-0.295,-0.177,0.64
10520,-0.291,-0.203,0.722
10560,-0.325,-0.161,0.73
10600,-0.35,-0.172,0.802
10640,-0.227,-0.14,0.932
10680,-0.19,-0.211,1.042
10720,-0.117,-0.101,1.162
10760,-0.027,-0.063,1.339
10800,0.001,0.025,1.445
10840,-0.024,0.115,1.526
10880,-0.024,0.266,1.551
10920,-0.066,0.477,1.371
10960,-0.086,0.306,0.957
11000,-0.01,-0.014,0.732
11040,0.09,-0.12,0.679
11080,0.124,-0.079,0.711
11120,0.098,0.023,0.731
11160,0.031,0.072,0.716
11200,-0.07,0.005,0.751
11240,-0.068,0.021,0.864
11280,-0.073,0.13,1.121
11320,0.012,0.11,1.361
11360,0.046,0.051,1.349
11400,0.08,0.041,1.232
11440,0.207,0.268,1.234
11480,0.22,0.285,1.084
11520,0.16,0.436,0.987
11560,0.152,0.338,0.925
11600,0.184,0.106,0.882
11640,0.157,-0.2,0.917
11680,0.198,-0.49,0.98
11720,0.216,-0.547,1.118
11760,0.182,-0.448,1.172
11800,0.142,-0.26,1.151
11840,0.072,-0.002,1.127
11880,0.04,0.07,1.101
11920,0.019,0.01,1.031
11960,-0.023,-0.002,0.972
12000,-0.059,0.008,0.924
12040,-0.076,0.086,1.008
12080,-0.084,0.044,1.088
12120,-0.178,-0.025,1.043
12160,-0.202,-0.051,1.063
12200,-0.219,-0.129,1.03
12240,-0.259,-0.144,1.006
12280,-0.215,-0.088,1.042
12320,-0.184,-0.098,1.004
12360,-0.195,-0.08,0.917
12400,-0.226,0.025,0.875
12440,-0.263,0.027,0.857
12480,-0.236,0.014,0.908
12520,-0.254,0.094,0.958
12560,-0.212,0.058,0.99
12600,-0.221,0.213,0.985
12640,-0.223,0.299,0.967
12680,-0.237,0.35,0.907
12720,-0.237,0.303,0.787
12760,-0.174,0.217,0.744
12800,-0.204,0.1,0.662
12840,-0.227,0.023,0.599
12880,-0.261,-0.014,0.576
12920,-0.235,-0.07,0.649
12960,-0.192,-0.061,0.718
13000,-0.183,-0.118,0.774
13040,-0.18,-0.105,0.92
13080,-0.164,-0.101,1.042
13120,-0.223,-0.05,1.084
13160,-0.233,-0.029,1.1
13200,-0.242,-0.004,1.123
13240,-0.23,0.01,1.144
13280,-0.196,0.039,1.201
13320,-0.191,0.041,1.196
13360,-0.157,0.066,1.222
13400,-0.144,0.065,1.2
13440,-0.157,0.086,1.148
13480,-0.147,0.102,1.094
13520,-0.141,0.071,1.052
13560,-0.138,0.049,0.998
13600,-0.152,0.022,0.972
13640,-0.135,0.03,0.975
13680,-0.169,0.005,0.937
13720,-0.158,-0.018,0.943
13760,-0.177,-0.01,0.927
13800,-0.185,-0.025,0.905
13840,-0.194,-0.013,0.926
13880,-0.2,-0.012,0.94
13920,-0.206,-0.027,0.974
13960,-0.199,-0.033,1.002
14000,-0.207,-0.057,1.012
14040,-0.201,-0.034,0.985
14080,-0.218,-0.018,0.897
14120,-0.249,-0.028,0.804
14160,-0.226,-0.07,0.805
14200,-0.181,-0.133,0.843
14240,-0.151,-0.158,0.898
14280,-0.141,-0.093,0.959
14320,-0.173,-0.032,1.141
14360,-0.13,0.049,1.313
14400,-0.162,0.117,1.382
14440,-0.189,0.14,1.32
14480,-0.116,0.207,1.292
14520,-0.146,0.159,1.127
14560,-0.172,0.167,1.026
14600,-0.173,0.173,0.939
14640,-0.207,0.188,0.874
14680,-0.235,0.156,0.857
14720,-0.214,0.191,0.881
14760,-0.225,0.169,0.797
14800,-0.268,0.089,0.641
14840,-0.303,0.03,0.563
14880,-0.314,0.013,0.523
14920,-0.297,-0.018,0.514
14960,-0.265,-0.078,0.581
15000,-0.213,-0.161,0.666
15040,-0.181,-0.188,0.82
15080,-0.15,-0.251,0.92
15120,-0.171,-0.24,1.04
15160,-0.156,-0.243,1.164
15200,-0.121,-0.158,1.324
15240,-0.092,0.007,1.465
15280,-0.117,0.23,1.333
15320,-0.13,0.318,1.134
15360,-0.129,0.318,0.943
15400,-0.058,0.204,0.785
15440,0.049,-0.011,0.716
15480,0.129,-0.058,0.794
15520,0.135,0.017,0.847
15560,0.048,0.147,0.929
15600,-0.007,0.126,1.177
15640,0.011,0.067,1.302
15680,-0.043,0.095,1.131
15720,-0.023,0.183,0.999
15760,0.053,0.203,0.881
15800,0.122,0.351,0.819
15840,0.149,0.51,0.927
15880,0.226,0.328,1.039
15920,0.342,-0.078,1.117
15960,0.41,-0.444,1.337
16000,0.339,-0.503,1.437
16040,0.258,-0.444,1.266
16080,0.102,-0.129,1.107
16120,0.015,0.042,1.017
16160,0.013,0.035,0.941
16200,0.014,0.029,0.939
16240,-0.033,0.116,0.919
16280,-0.081,0.111,0.893
16320,-0.087,0.078,0.878
16360,-0.109,0.096,0.91
16400,-0.123,0.08,0.921
16440,-0.145,0.064,0.928
16480,-0.108,0.048,0.993
16520,-0.109,0.015,1.001
16560,-0.148,0.027,0.956
16600,-0.129,0.01,0.983
16640,-0.115,-0.043,1.025
16680,-0.133,-0.05,1.031
16720,-0.137,-0.042,1.015
16760,-0.174,-0.036,0.984
16800,-0.201,-0.037,0.968
16840,-0.231,-0.02,0.971
16880,-0.253,-0.021,0.961
16920,-0.231,-0.017,0.959
16960,-0.226,-0.059,0.905
17000,-0.258,-0.075,0.847
17040,-0.266,-0.051,0.862
17080,-0.255,-0.072,0.889
17120,-0.263,-0.037,0.901
17160,-0.275,-0.016,0.929
17200,-0.28,-0.012,0.955
17240,-0.295,-0.004,0.95
17280,-0.311,0.002,0.964
17320,-0.295,-0.016,0.969
17360,-0.293,-0.036,0.957
17400,-0.299,-0.055,0.939
17440,-0.305,-0.071,0.914
17480,-0.307,-0.075,0.902
17520,-0.309,-0.068,0.914
17560,-0.295,-0.07,0.933
17600,-0.268,-0.068,0.965
17640,-0.286,-0.049,0.937
17680,-0.297,-0.039,0.93
17720,-0.282,-0.025,0.99
17760,-0.271,-0.021,1.016
17800,-0.285,-0.016,0.962
17840,-0.295,-0.027,0.932
17880,-0.298,-0.068,0.93
17920,-0.284,-0.082,0.933
17960,-0.291,-0.072,0.922
18000,-0.284,-0.056,0.92
18040,-0.285,-0.063,0.884
18080,-0.274,-0.059,0.868
18120,-0.275,-0.035,0.864
18160,-0.29,-0.034,0.896
18200,-0.267,-0.025,1.014
18240,-0.241,-0.027,1.067
18280,-0.249,-0.013,1.033
18320,-0.258,0.005,0.994
18360,-0.257,0,0.98
18400,-0.25,-0.015,0.99
18440,-0.243,-0.036,0.975
18480,-0.243,-0.026,0.956
18520,-0.247,-0.046,0.94
18560,-0.243,-0.029,0.967
18600,-0.228,-0.019,0.981
18640,-0.204,-0.022,0.976
18680,-0.214,-0.002,0.896
18720,-0.229,0.001,0.871
18760,-0.226,-0.007,0.943
18800,-0.228,-0.029,1
18840,-0.234,-0.029,1.002
18880,-0.246,-0.047,0.967
18920,-0.249,-0.053,0.952
18960,-0.238,-0.087,0.942
19000,-0.237,-0.085,0.958
19040,-0.223,-0.068,0.994
19080,-0.218,-0.048,1.015
19120,-0.214,-0.028,1.013
19160,-0.205,-0.013,0.998
19200,-0.202,0.007,0.982
19240,-0.194,-0.019,0.975
19280,-0.186,-0.029,0.976
19320,-0.204,-0.029,0.961
19360,-0.203,-0.042,0.968
19400,-0.207,-0.039,0.977
19440,-0.21,-0.034,0.986
19480,-0.182,-0.036,0.966
19520,-0.17,0.049,0.968
19560,-0.189,0.104,0.901
19600,-0.238,0.124,0.811
19640,-0.249,0.086,0.726
19680,-0.231,0.03,0.723
19720,-0.226,-0.02,0.805
19760,-0.155,-0.053,0.958
19800,-0.107,-0.075,1.072
19840,-0.088,-0.004,1.123
19880,-0.083,0.058,1.162
19920,-0.056,0.108,1.182
19960,-0.071,0.106,1.137
20000,-0.057,0.077,1.098
20040,-0.06,0.053,1.105
20080,-0.058,0.027,1.161
20120,-0.051,0.066,1.256
20160,-0.057,0.122,1.313
20200,-0.022,0.126,1.24
20240,-0.067,0.146,1.167
20280,-0.054,0.223,1.106
20320,-0.045,0.142,1.034
20360,-0.083,0.187,1.019
20400,-0.15,0.238,0.92
20440,-0.217,0.265,0.926
20480,-0.224,0.289,0.879
20520,-0.245,0.285,0.786
20560,-0.269,0.245,0.617
20600,-0.314,0.167,0.454
20640,-0.348,0.104,0.385
20680,-0.311,0.024,0.438
20720,-0.264,-0.1,0.548
20760,-0.242,-0.207,0.648
20800,-0.232,-0.345,0.732
20840,-0.247,-0.377,0.871
20880,-0.311,-0.428,1.039
20920,-0.309,-0.353,1.18
20960,-0.288,0.004,1.449
21000,-0.269,0.273,1.535
21040,-0.292,0.374,1.267
21080,-0.247,0.343,0.761
21120,-0.166,0.187,0.547
21160,-0.037,0.02,0.412
21200,0.017,0.031,0.417
21240,0.013,0.033,0.584
21280,0.009,-0.024,0.766
21320,0.049,0.026,1.289
21360,0.135,0.068,1.746
21400,0.067,0.139,1.652
21440,0.091,0.512,1.308
21480,0.126,0.456,1.116
21520,0.219,0.36,1.02
21560,0.174,0.329,0.864
21600,0.089,0.163,0.735
21640,0.193,-0.185,0.905
21680,0.373,-0.516,1.219
21720,0.351,-0.691,1.456
21760,0.294,-0.28,1.358
21800,0.133,0.131,1.097
21840,0.084,0.099,0.906
21880,0.177,-0.069,1.151
21920,0.223,0.247,1.615
21960,0.082,-0.054,1.322
22000,-0.119,-0.116,1.042
22040,-0.136,0.102,1.045
22080,-0.183,0.065,1.006
22120,-0.272,0.063,0.856
22160,-0.319,0.06,0.676
22200,-0.359,0.227,0.736
22240,-0.354,0.302,0.761
22280,-0.349,0.456,0.778
22320,-0.239,0.501,0.944
22360,-0.249,0.613,0.816
22400,-0.212,0.707,0.833
22440,-0.188,0.584,0.703
22480,-0.214,0.479,0.579
22520,-0.185,0.355,0.556
22560,-0.222,0.167,0.496
22600,-0.271,0.125,0.464
22640,-0.24,0.012,0.478
22680,-0.238,-0.137,0.542
22720,-0.213,-0.201,0.627
22760,-0.232,-0.245,0.717
22800,-0.13,-0.324,0.935
22840,-0.105,-0.238,1.193
22880,-0.146,-0.149,1.361
22920,-0.159,-0.11,1.494
22960,-0.102,0.044,1.565
23000,-0.081,0.313,1.405
23040,-0.075,0.423,1.092
23080,-0.099,0.393,0.751
23120,-0.097,0.285,0.544
23160,-0.112,0.199,0.381
23200,-0.034,0.083,0.462
23240,0.04,0.042,0.607
23280,0.108,0.014,0.869
23320,0.19,0.131,1.363
