timestamp,Accx,Accy,Accz
0,-0.071,-0.059,0.99
40,-0.056,-0.07,1.012
80,-0.034,-0.047,0.997
120,-0.042,-0.065,0.963
160,-0.064,-0.066,1.055
200,-0.04,-0.105,1.043
240,-0.071,-0.072,1.013
280,-0.027,-0.095,1.003
320,-0.028,-0.139,0.969
360,0.012,-0.126,0.995
400,-0.043,-0.13,0.987
440,-0.022,-0.104,0.952
480,-0.039,-0.135,0.989
520,-0.022,-0.116,0.989
560,-0.042,-0.117,0.947
600,-0.043,-0.143,1.008
640,-0.035,-0.178,1.068
680,-0.007,-0.155,1.043
720,-0.021,-0.157,0.975
760,-0.014,-0.098,0.934
800,0.006,-0.068,1.053
840,0.021,-0.15,1.007
880,0.015,0,0.943
920,0.041,-0.09,1.048
960,-0.287,-0.17,0.958
1000,-0.095,-0.15,1.034
1040,-0.075,-0.149,1.004
1080,-0.025,-0.109,1.051
1120,-0.093,-0.066,0.976
1160,-0.035,0.018,0.864
1200,-0.098,0.042,0.891
1240,-0.117,0.033,0.89
1280,-0.103,0.011,0.92
1320,-0.136,0.025,1.12
1360,-0.06,-0.052,1.018
1400,-0.082,-0.009,0.885
1440,-0.101,0.01,0.967
1480,-0.096,-0.053,1.045
1520,-0.124,-0.012,0.946
1560,-0.09,0.012,0.941
1600,-0.09,-0.016,1.007
1640,-0.087,0.004,1.009
1680,-0.068,-0.01,0.988
1720,-0.063,-0.012,1.041
1760,-0.067,-0.025,1.03
1800,-0.073,-0.007,1.032
1840,-0.033,-0.001,1.046
1880,-0.083,-0.052,1.118
1920,-0.012,0.058,0.97
1960,-0.078,-0.011,1.125
2000,-0.034,0.021,1.074
2040,-0.029,-0.11,1.05
2080,-0.016,0.059,0.959
2120,-0.023,-0.091,0.981
2160,-0.075,-0.078,1.035
2200,0.062,-0.083,0.921
2240,-0.028,-0.016,0.845
2280,-0.02,-0.129,0.916
2320,-0.122,0.033,0.888
2360,-0.122,-0.235,1.068
2400,-0.198,-0.099,1.118
2440,-0.101,-0.072,0.727
2480,-0.094,0.05,0.856
2520,-0.322,-0.236,1.048
2560,-0.158,0.158,0.948
2600,-0.214,0.084,1.378
2640,-0.161,0.096,0.965
2680,-0.213,-0.059,0.718
2720,-0.052,0.124,0.919
2760,-0.023,0.207,0.901
2800,-0.019,0.012,1.195
2840,0.012,-0.124,0.704
2880,-0.077,-0.218,1.053
2920,-0.165,0.082,1.128
2960,-0.111,0.093,1.043
3000,-0.057,-0.066,0.997
3040,0.041,-0.131,0.887
3080,-0.201,-0.062,0.956
3120,-0.146,-0.066,0.95
3160,-0.084,-0.095,0.997
3200,-0.022,-0.114,1.005
3240,-0.075,-0.09,1.049
3280,-0.059,0.026,1.131
3320,-0.046,0.008,1.14
3360,-0.07,0.087,1.137
3400,-0.074,0.176,1.177
3440,-0.011,0.175,1.145
3480,-0.065,0.138,1.135
3520,-0.022,0.233,1.057
3560,-0.112,0.103,1.045
3600,-0.063,0.198,0.991
3640,-0.137,0.123,0.926
3680,-0.189,0.223,0.834
3720,-0.229,0.162,0.803
3760,-0.231,0.095,0.812
3800,-0.253,0.12,0.799
3840,-0.295,0.073,0.783
3880,-0.271,0.063,0.81
3920,-0.284,0.028,0.753
3960,-0.321,0.005,0.759
4000,-0.332,-0.011,0.735
4040,-0.327,-0.029,0.77
4080,-0.302,-0.028,0.815
4120,-0.3,-0.045,0.821
4160,-0.29,-0.052,0.817
4200,-0.27,0.006,0.876
4240,-0.24,-0.035,0.912
4280,-0.205,0.01,0.937
4320,-0.197,0.019,0.979
4360,-0.164,-0.021,0.982
4400,-0.152,-0.022,0.989
4440,-0.139,-0.002,1.044
4480,-0.111,-0.021,1.076
4520,-0.106,-0.049,1.092
4560,-0.099,-0.029,1.129
4600,-0.085,-0.03,1.081
4640,-0.099,-0.083,1.071
4680,-0.06,-0.043,1.019
4720,-0.044,-0.041,1.074
4760,0.006,-0.022,1.082
4800,0.012,0.063,1.141
4840,0.038,0.071,1.141
4880,0.042,0.091,1.164
4920,0.042,0.168,1.214
4960,0.041,0.091,1.173
5000,0.068,0.135,1.185
5040,0.04,0.176,1.177
5080,0.027,0.162,1.124
5120,-0.023,0.145,1.035
5160,-0.063,0.149,1.01
5200,-0.056,0.065,0.962
5240,-0.074,0.12,0.963
5280,-0.11,0.103,0.914
5320,-0.148,0.077,0.888
5360,-0.159,0.075,0.895
5400,-0.172,0.094,0.849
5440,-0.227,0.035,0.814
5480,-0.241,0.05,0.805
5520,-0.261,0.02,0.794
5560,-0.289,-0.002,0.8
5600,-0.301,-0.008,0.76
5640,-0.333,-0.042,0.722
5680,-0.297,-0.03,0.735
5720,-0.282,-0.026,0.767
5760,-0.25,-0.022,0.778
5800,-0.216,-0.058,0.775
5840,-0.219,-0.042,0.853
5880,-0.194,-0.092,0.866
5920,-0.159,-0.091,0.935
5960,-0.138,-0.086,0.994
6000,-0.106,-0.123,1.002
6040,-0.094,-0.076,1.107
6080,-0.057,-0.079,1.081
6120,-0.045,-0.083,1.124
6160,-0.033,-0.12,1.128
6200,-0.048,-0.14,1.163
6240,-0.025,-0.079,1.088
6280,-0.044,-0.062,1.07
6320,-0.057,-0.013,1.05
6360,-0.062,0.047,1.095
6400,-0.034,0.004,1.128
6440,-0.006,0.011,1.159
